listing_id,title,ask,minimum_offer,binder_numbers,folder
BND-001,World Silver Coin Lot 9 Coins 1911-1962 Mixed Countries Circulated,47.99,39.99,"#039, #047, #067, #151, #153, #154, #173, #227, #244",BND-001-World-Silver-Coin-Lot-9-Coins-1911-1962-Mixed-Countries-Circulated
BND-002,France 7 Coin Lot 1856-1994 Mixed Denominations,26.99,22.99,"#065, #096, #122, #125, #161, #199, #245",BND-002-France-7-Coin-Lot-1856-1994-Mixed-Denominations
BND-003,Africa 7 Coin Lot 1930-1997 Mixed Countries World Coins,26.99,22.99,"#071, #046, #156, #077, #063, #049, #059",BND-003-Africa-7-Coin-Lot-1930-1997-Mixed-Countries-World-Coins
BND-004,Switzerland 8 Coin Lot 1968-2001 Mixed Denominations,26.99,22.99,"#112, #149, #157, #183, #195, #233, #234, #236",BND-004-Switzerland-8-Coin-Lot-1968-2001-Mixed-Denominations
BND-005,Spain 8 Coin Lot 1870-2006 Mixed Denominations,24.99,20.99,"#053, #079, #083, #123, #145, #164, #246, #247",BND-005-Spain-8-Coin-Lot-1870-2006-Mixed-Denominations
BND-006,UK One Pound 8 Coin Lot 1994-2005 Mixed Designs,24.99,20.99,"#080, #132, #163, #201, #204, #205, #238, #239",BND-006-UK-One-Pound-8-Coin-Lot-1994-2005-Mixed-Designs
BND-007,New Zealand 7 Coin Lot 1981-1999 Mixed Denominations Group 1,22.99,18.99,"#043, #044, #045, #076, #095, #126, #127",BND-007-New-Zealand-7-Coin-Lot-1981-1999-Mixed-Denominations-Group-1
BND-008,Germany 5 Coin Lot 1976-2006 Mixed Denominations Group 1,21.99,18.99,"#050, #051, #055, #081, #102",BND-008-Germany-5-Coin-Lot-1976-2006-Mixed-Denominations-Group-1
BND-009,Latin America 7 Coin Lot 1922-2008 Mixed Countries World Coins,21.99,18.99,"#120, #211, #086, #131, #243, #048, #147",BND-009-Latin-America-7-Coin-Lot-1922-2008-Mixed-Countries-World-Coins
BND-010,Continental Europe 7 Coin Lot 1918-2009 Mixed Countries World Coins,20.99,17.99,"#130, #160, #092, #085, #082, #208, #091",BND-010-Continental-Europe-7-Coin-Lot-1918-2009-Mixed-Countries-World-Coins
BND-011,United States 6 Coin Dollar Lot 1971-1979 Ike SBA Presidential Group 1,18.99,15.99,"#001, #006, #008, #010, #017, #018",BND-011-United-States-6-Coin-Dollar-Lot-1971-1979-Ike-SBA-Presidential-Group-1
BND-012,Canada 6 Coin Lot 1987-2011 Mixed Denominations Group 1,17.99,14.99,"#088, #098, #109, #110, #167, #168",BND-012-Canada-6-Coin-Lot-1987-2011-Mixed-Denominations-Group-1
BND-013,Eswatini 8 Coin Lot 1975-2003 Mixed Denominations,17.99,14.99,"#100, #138, #194, #214, #217, #218, #235, #237",BND-013-Eswatini-8-Coin-Lot-1975-2003-Mixed-Denominations
BND-014,Denmark 6 Coin Lot 1989-2006 Mixed Denominations,16.99,13.99,"#103, #108, #133, #221, #222, #225",BND-014-Denmark-6-Coin-Lot-1989-2006-Mixed-Denominations
BND-015,Iraq 3 Coin Lot 1938-1981 Mixed Denominations,16.99,13.99,"#124, #175, #177",BND-015-Iraq-3-Coin-Lot-1938-1981-Mixed-Denominations
BND-016,New Zealand 6 Coin Lot 1990-2003 Mixed Denominations Group 2,16.99,13.99,"#139, #182, #192, #193, #198, #232",BND-016-New-Zealand-6-Coin-Lot-1990-2003-Mixed-Denominations-Group-2
BND-017,United States 5 Coin Dollar Lot 1971-2010 Ike SBA Presidential Group 2,15.99,13.99,"#019, #020, #021, #022, #024",BND-017-United-States-5-Coin-Dollar-Lot-1971-2010-Ike-SBA-Presidential-Group-2
BND-018,Australia & Papua New Guinea 5 Coin Lot 1948-2012 Mixed Denominations,15.99,13.99,"#066, #089, #128, #197, #210",BND-018-Australia-Papua-New-Guinea-5-Coin-Lot-1948-2012-Mixed-Denominations
BND-019,Germany 4 Coin Lot 1937-2004 Mixed Denominations Group 2,14.99,12.99,"#105, #134, #152, #187",BND-019-Germany-4-Coin-Lot-1937-2004-Mixed-Denominations-Group-2
BND-020,United Kingdom Decimal & Commemorative Coins 6 Coin Lot 1992-2011 Group 2,14.99,12.99,"#159, #166, #178, #184, #185, #188",BND-020-United-Kingdom-Decimal-Commemorative-Coins-6-Coin-Lot-1992-2011-Group-2
BND-021,United Kingdom Pre-Decimal Coins 4 Coin Lot 1884-1965,13.99,11.99,"#030, #038, #141, #231",BND-021-United-Kingdom-Pre-Decimal-Coins-4-Coin-Lot-1884-1965
BND-022,Middle East & North Africa 4 Coin Lot 1949-1983 Mixed Countries World Coins,13.99,11.99,"#070, #170, #069, #104",BND-022-Middle-East-North-Africa-4-Coin-Lot-1949-1983-Mixed-Countries-World-Coins
BND-023,Italy 3 Coin Lot 1866-1990 Mixed Denominations,13.99,11.99,"#073, #078, #117",BND-023-Italy-3-Coin-Lot-1866-1990-Mixed-Denominations
BND-024,United States 6 Coin Cent Lot 1905-1974 Indian Wheat Lincoln Group 1,12.99,10.99,"#009, #011, #012, #013, #014, #015",BND-024-United-States-6-Coin-Cent-Lot-1905-1974-Indian-Wheat-Lincoln-Group-1
BND-025,1935 Mercury Dime 2 Coin Lot Philadelphia 90% Silver Circulated,11.99,9.99,"#023, #033",BND-025-1935-Mercury-Dime-2-Coin-Lot-Philadelphia-90-Silver-Circulated
BND-026,United Kingdom Decimal & Commemorative Coins 7 Coin Lot 1992 Group 1,11.99,9.99,"#061, #068, #140, #142, #143, #144, #158",BND-026-United-Kingdom-Decimal-Commemorative-Coins-7-Coin-Lot-1992-Group-1
BND-027,Canada 5 Coin Lot 1990-2018 Mixed Denominations Group 2,11.99,9.99,"#181, #200, #202, #212, #230",BND-027-Canada-5-Coin-Lot-1990-2018-Mixed-Denominations-Group-2
BND-028,China 2 Coin Lot 1722-1795 Mixed Denominations,10.99,9.99,"#058, #084",BND-028-China-2-Coin-Lot-1722-1795-Mixed-Denominations
BND-029,Egypt 2 Coin Lot 1876-1941 Mixed Denominations,10.99,9.99,"#072, #121",BND-029-Egypt-2-Coin-Lot-1876-1941-Mixed-Denominations
BND-030,Hong Kong 4 Coin Lot 1993-1995 Mixed Denominations,10.99,9.99,"#106, #203, #240, #241",BND-030-Hong-Kong-4-Coin-Lot-1993-1995-Mixed-Denominations
BND-031,Japan 2 Coin Lot 2006-2007 Mixed Denominations,10.99,9.99,"#190, #242",BND-031-Japan-2-Coin-Lot-2006-2007-Mixed-Denominations
BND-032,Asia 4 Coin Lot 1944-1981 Mixed Countries World Coins,10.99,9.99,"#213, #209, #111, #179",BND-032-Asia-4-Coin-Lot-1944-1981-Mixed-Countries-World-Coins
BND-033,United States 5 Coin Cent Lot 1907-1994 Indian Wheat Lincoln Group 2,9.99,8.99,"#031, #032, #034, #035, #036",BND-033-United-States-5-Coin-Cent-Lot-1907-1994-Indian-Wheat-Lincoln-Group-2
BND-034,Jordan 3 Coin Lot 1949-1978 Mixed Denominations,9.99,8.99,"#042, #107, #229",BND-034-Jordan-3-Coin-Lot-1949-1978-Mixed-Denominations
BND-035,Netherlands 3 Coin Lot 1903-1980 Mixed Denominations,9.99,8.99,"#087, #101, #135",BND-035-Netherlands-3-Coin-Lot-1903-1980-Mixed-Denominations
BND-036,United States Quarters 2 Coin Lot 1976-1999,8.99,7.99,"#016, #025",BND-036-United-States-Quarters-2-Coin-Lot-1976-1999
BND-037,United States Nickels Dimes & Tokens 3 Coin Lot 1902-2016,8.99,7.99,"#027, #054, #224",BND-037-United-States-Nickels-Dimes-Tokens-3-Coin-Lot-1902-2016
BND-038,Argentina 2 Coin Lot 1890-1906 Mixed Denominations,8.98,7.99,"#113, #169",BND-038-Argentina-2-Coin-Lot-1890-1906-Mixed-Denominations
BND-039,United States Half Dollars 4 Coin Lot 1974-2000,7.99,6.99,"#002, #003, #004, #026",BND-039-United-States-Half-Dollars-4-Coin-Lot-1974-2000
BND-040,Caribbean 4 Coin Lot 1977-2005 Mixed Countries World Coins,7.99,6.99,"#186, #162, #099, #215",BND-040-Caribbean-4-Coin-Lot-1977-2005-Mixed-Countries-World-Coins
BND-041,Netherlands East Indies 2 Coin Lot 1945 Mixed Denominations,7.98,6.99,"#148, #155",BND-041-Netherlands-East-Indies-2-Coin-Lot-1945-Mixed-Denominations
BND-042,Ceylon 3 Coin Lot 1943-1963 Mixed Denominations,7.97,6.99,"#075, #165, #220",BND-042-Ceylon-3-Coin-Lot-1943-1963-Mixed-Denominations
